task_id,task_name,status,matched_content,matched_hook,missing_requirement,suggested_fix
89,Enter the Mining Guild,need_hook,area:General,(unwired) area enter,area enter not wired to league tasks,Wire region enter hook or script_manual on area entry
653,Use the Grand Exchange.,need_hook,quest/area:Misthalin,(unwired) quest completion,quest/diary completion not implemented,Implement quest system hook or script_manual
664,Enter the Stronghold of Security.,need_hook,area:Misthalin,(unwired) area enter,area enter not wired to league tasks,Wire region enter hook or script_manual on area entry
666,Enter Edgeville Dungeon.,need_hook,area:Misthalin,(unwired) area enter,area enter not wired to league tasks,Wire region enter hook or script_manual on area entry
667,Enter Varrock Sewers.,need_hook,area:Misthalin,(unwired) area enter,area enter not wired to league tasks,Wire region enter hook or script_manual on area entry
668,Enter Lumbridge Swamp Caves.,need_hook,area:Misthalin,(unwired) area enter,area enter not wired to league tasks,Wire region enter hook or script_manual on area entry
669,Enter the Cook’s Guild.,need_hook,area:Misthalin,(unwired) area enter,area enter not wired to league tasks,Wire region enter hook or script_manual on area entry
670,Enter the Champions’ Guild.,need_hook,area:Misthalin,(unwired) area enter,area enter not wired to league tasks,Wire region enter hook or script_manual on area entry
671,Enter the Wizards’ Tower.,need_hook,area:Misthalin,(unwired) area enter,area enter not wired to league tasks,Wire region enter hook or script_manual on area entry
672,Enter the Varrock Museum.,need_hook,area:Misthalin,(unwired) area enter,area enter not wired to league tasks,Wire region enter hook or script_manual on area entry
673,Enter the Grand Exchange Tunnel.,need_hook,area:Misthalin,(unwired) area enter,area enter not wired to league tasks,Wire region enter hook or script_manual on area entry
694,Speak to Oziach.,need_hook,quest/area:Misthalin,(unwired) quest completion,quest/diary completion not implemented,Implement quest system hook or script_manual
695,Speak to the Wise Old Man.,need_hook,quest/area:Misthalin,(unwired) quest completion,quest/diary completion not implemented,Implement quest system hook or script_manual
696,Speak to Aubury.,need_hook,quest/area:Misthalin,(unwired) quest completion,quest/diary completion not implemented,Implement quest system hook or script_manual
697,Speak to the Lumbridge Guide.,need_hook,quest/area:Misthalin,(unwired) quest completion,quest/diary completion not implemented,Implement quest system hook or script_manual
701,Enter the Earth Altar through Varrock.,need_hook,area:Misthalin,(unwired) area enter,area enter not wired to league tasks,Wire region enter hook or script_manual on area entry
702,Enter the Chaos Altar near Edgeville.,need_hook,area:Misthalin,(unwired) area enter,area enter not wired to league tasks,Wire region enter hook or script_manual on area entry
711,Use the Karamja General Store.,need_hook,quest/area:Karamja,(unwired) quest completion,quest/diary completion not implemented,Implement quest system hook or script_manual
