task_id,task_name,status,matched_content,matched_hook,missing_requirement,suggested_fix
103,Wear a piece of Lumberjack,missing_content,,LeagueTaskManager.onItemEquip,"item not found in cache (""piece of Lumberjack"")",Verify item/NPC name matches cache (r235) spelling
321,Equip a Slayer Helmet.,ambiguous,item candidates: 11864:Slayer helmet; 14002:Slayer helmet,LeagueTaskManager.onItemEquip,multiple item ids for name,Set explicit target_id(s) in tasks source
478,Equip a Shortbow.,ambiguous,item candidates: 841:Shortbow; 842:Shortbow; 14559:Shortbow,LeagueTaskManager.onItemEquip,multiple item ids for name,Set explicit target_id(s) in tasks source
479,Equip a Longbow.,ambiguous,item candidates: 839:Longbow; 840:Longbow; 14558:Longbow,LeagueTaskManager.onItemEquip,multiple item ids for name,Set explicit target_id(s) in tasks source
480,Equip a Crossbow.,ambiguous,item candidates: 837:Crossbow; 838:Crossbow; 14500:Crossbow,LeagueTaskManager.onItemEquip,multiple item ids for name,Set explicit target_id(s) in tasks source
481,Equip Throwing Knives,missing_content,,LeagueTaskManager.onItemEquip,"item not found in cache (""Throwing Knives"")",Verify item/NPC name matches cache (r235) spelling
488,Equip Green Dragonhide Armor.,missing_content,,LeagueTaskManager.onItemEquip,"item not found in cache (""Green Dragonhide Armor"")",Verify item/NPC name matches cache (r235) spelling
489,Equip Blue Dragonhide Armor.,missing_content,,LeagueTaskManager.onItemEquip,"item not found in cache (""Blue Dragonhide Armor"")",Verify item/NPC name matches cache (r235) spelling
490,Equip Red Dragonhide Armor.,missing_content,,LeagueTaskManager.onItemEquip,"item not found in cache (""Red Dragonhide Armor"")",Verify item/NPC name matches cache (r235) spelling
491,Equip Black Dragonhide Armor.,missing_content,,LeagueTaskManager.onItemEquip,"item not found in cache (""Black Dragonhide Armor"")",Verify item/NPC name matches cache (r235) spelling
499,Equip a Bronze weapon.,missing_content,,LeagueTaskManager.onItemEquip,"item not found in cache (""Bronze weapon"")",Verify item/NPC name matches cache (r235) spelling
500,Equip an Iron weapon.,missing_content,,LeagueTaskManager.onItemEquip,"item not found in cache (""Iron weapon"")",Verify item/NPC name matches cache (r235) spelling
501,Equip a Steel weapon.,missing_content,,LeagueTaskManager.onItemEquip,"item not found in cache (""Steel weapon"")",Verify item/NPC name matches cache (r235) spelling
