task_id,task_name,status,matched_content,matched_hook,missing_requirement,suggested_fix
0,Achieve your First Level Up,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
1,Achieve your First Level 5,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
2,Achieve your First Level 10,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
3,Achieve your First Level 15,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
4,Achieve your First Level 20,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
5,Achieve your First Level 25,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
6,Achieve your First Level 30,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
7,Achieve your First Level 35,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
8,Achieve your First Level 40,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
9,Achieve your First Level 45,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
10,Achieve your First Level 50,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
11,Achieve your First Level 55,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
12,Achieve your First Level 60,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
13,Achieve your First Level 65,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
14,Achieve your First Level 70,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
15,Achieve your First Level 75,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
16,Achieve your First Level 80,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
17,Achieve your First Level 85,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
18,Achieve your First Level 90,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
19,Achieve your First Level 95,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
20,Achieve your First Level 99,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
21,Base Level 5,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
22,Base Level 10,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
23,Base Level 15,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
24,Base Level 20,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
25,Base Level 25,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
26,Base Level 30,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
27,Base Level 35,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
28,Base Level 40,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
29,Base Level 45,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
30,Base Level 50,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
31,Base Level 55,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
32,Base Level 60,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
33,Base Level 65,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
34,Base Level 70,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
35,Base Level 75,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
36,Base Level 80,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
37,Base Level 85,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
38,Base Level 90,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
39,Base Level 95,ready,trigger:level_reach,LeagueTaskManager.syncSkillProgressTasks,,
40,Reach Total Level 2376,ready,trigger:total_level_reach,LeagueTaskManager.syncSkillProgressTasks,,
