task_id,task_name,status,matched_content,matched_hook,missing_requirement,suggested_fix
304,Kill Crawling Hands.,missing_content,,LeagueTaskManager.onNpcKill,npc not found in cache,Verify item/NPC name matches cache (r235) spelling
305,Kill Banshees.,missing_content,,LeagueTaskManager.onNpcKill,npc not found in cache,Verify item/NPC name matches cache (r235) spelling
306,Kill Cave Bugs.,missing_content,,LeagueTaskManager.onNpcKill,npc not found in cache,Verify item/NPC name matches cache (r235) spelling
307,Kill Cave Crawlers.,missing_content,,LeagueTaskManager.onNpcKill,npc not found in cache,Verify item/NPC name matches cache (r235) spelling
308,Kill Rockslugs.,missing_content,,LeagueTaskManager.onNpcKill,npc not found in cache,Verify item/NPC name matches cache (r235) spelling
309,Kill Pyrefiends.,missing_content,,LeagueTaskManager.onNpcKill,npc not found in cache,Verify item/NPC name matches cache (r235) spelling
310,Kill Basilisks.,missing_content,,LeagueTaskManager.onNpcKill,npc not found in cache,Verify item/NPC name matches cache (r235) spelling
311,Kill Bloodveld.,ambiguous,npc candidates: 484:Bloodveld; 485:Bloodveld; 486:Bloodveld; 487:Bloodveld; 3138:Bloodveld,LeagueTaskManager.onNpcKill,multiple NPC ids for name,Set explicit target_id(s) in tasks source
312,Kill Dust Devils.,missing_content,,LeagueTaskManager.onNpcKill,npc not found in cache,Verify item/NPC name matches cache (r235) spelling
313,Kill Kurasks.,missing_content,,LeagueTaskManager.onNpcKill,npc not found in cache,Verify item/NPC name matches cache (r235) spelling
314,Kill Skeletal Wyverns.,missing_content,,LeagueTaskManager.onNpcKill,npc not found in cache,Verify item/NPC name matches cache (r235) spelling
315,Kill Gargoyles.,missing_content,,LeagueTaskManager.onNpcKill,npc not found in cache,Verify item/NPC name matches cache (r235) spelling
316,Kill Nechryaels.,missing_content,,LeagueTaskManager.onNpcKill,npc not found in cache,Verify item/NPC name matches cache (r235) spelling
317,Kill Abyssal Demons.,missing_content,,LeagueTaskManager.onNpcKill,npc not found in cache,Verify item/NPC name matches cache (r235) spelling
318,Kill Dark Beasts.,missing_content,,LeagueTaskManager.onNpcKill,npc not found in cache,Verify item/NPC name matches cache (r235) spelling
319,Defeat Abyssal Sire,ready,npc:5886 Abyssal Sire spawned,LeagueTaskManager.onNpcKill,,
335,Kill 100 Slayer Creatures.,missing_content,,LeagueTaskManager.onNpcKill,npc not found in cache,Verify item/NPC name matches cache (r235) spelling
336,"Kill 1,000 Slayer Creatures.",missing_content,,LeagueTaskManager.onNpcKill,npc not found in cache,Verify item/NPC name matches cache (r235) spelling
337,"Kill 5,000 Slayer Creatures.",missing_content,,LeagueTaskManager.onNpcKill,npc not found in cache,Verify item/NPC name matches cache (r235) spelling
468,Kill 100 Monsters with Magic.,missing_content,,LeagueTaskManager.onNpcKill,npc not found in cache,Verify item/NPC name matches cache (r235) spelling
469,"Kill 1,000 Monsters with Magic.",missing_content,,LeagueTaskManager.onNpcKill,npc not found in cache,Verify item/NPC name matches cache (r235) spelling
470,"Kill 5,000 Monsters with Magic.",missing_content,,LeagueTaskManager.onNpcKill,npc not found in cache,Verify item/NPC name matches cache (r235) spelling
492,Kill a Monster with Ranged.,missing_content,,LeagueTaskManager.onNpcKill,npc not found in cache,Verify item/NPC name matches cache (r235) spelling
493,Kill 100 Monsters with Ranged.,missing_content,,LeagueTaskManager.onNpcKill,npc not found in cache,Verify item/NPC name matches cache (r235) spelling
494,"Kill 1,000 Monsters with Ranged.",missing_content,,LeagueTaskManager.onNpcKill,npc not found in cache,Verify item/NPC name matches cache (r235) spelling
