Task ID,Area,Task,Requirements,Difficulty,Points,Combat Mastery
0,General,Achieve your First Level Up,,Easy,10,
1,General,Achieve your First Level 5,,Easy,10,
2,General,Achieve your First Level 10,,Easy,10,
3,General,Achieve your First Level 15,,Easy,10,
4,General,Achieve your First Level 20,,Easy,10,
5,General,Achieve your First Level 25,,Easy,10,
6,General,Achieve your First Level 30,,Medium,30,
7,General,Achieve your First Level 35,,Medium,30,
8,General,Achieve your First Level 40,,Medium,30,
9,General,Achieve your First Level 45,,Medium,30,
10,General,Achieve your First Level 50,,Medium,30,
11,General,Achieve your First Level 55,,Medium,30,
12,General,Achieve your First Level 60,,Hard,80,
13,General,Achieve your First Level 65,,Hard,80,
14,General,Achieve your First Level 70,,Hard,80,
15,General,Achieve your First Level 75,,Hard,80,
16,General,Achieve your First Level 80,,Hard,80,
17,General,Achieve your First Level 85,,Elite,200,
18,General,Achieve your First Level 90,,Elite,200,
19,General,Achieve your First Level 95,,Master,400,
20,General,Achieve your First Level 99,,Master,400,
21,General,Base Level 5,,Easy,10,
22,General,Base Level 10,,Easy,10,
23,General,Base Level 15,,Easy,10,
24,General,Base Level 20,,Easy,10,
25,General,Base Level 25,,Easy,10,
26,General,Base Level 30,,Medium,30,
27,General,Base Level 35,,Medium,30,
28,General,Base Level 40,,Medium,30,
29,General,Base Level 45,,Medium,30,
30,General,Base Level 50,,Medium,30,
31,General,Base Level 55,,Medium,30,
32,General,Base Level 60,,Hard,80,
33,General,Base Level 65,,Hard,80,
34,General,Base Level 70,,Hard,80,
35,General,Base Level 75,,Hard,80,
36,General,Base Level 80,,Elite,200,
37,General,Base Level 85,,Elite,200,
38,General,Base Level 90,,Elite,200,
39,General,Base Level 95,,Master,400,
40,General,Reach Total Level 2277,,Master,400,
41,General,Pickpocket a Citizen,,Easy,10,
42,General,Pickpocket a Farmer,10 Thieving,Easy,10,
43,General,Pickpocket a HAM follower,15 Thieving,Easy,10,
44,General,Pickpocket a Warrior,25 Thieving,Easy,10,
45,General,Pickpocket a Villager,30 Thieving,Medium,30,
46,General,Pickpocket a Master Farmer,38 Thieving,Medium,30,
47,General,Pickpocket a Guard,40 Thieving,Medium,30,
48,General,Pickpocket a Fremennik,45 Thieving,Medium,30,
49,General,Pickpocket a Wealthy Citizen,50 Thieving,Medium,30,
50,General,Pickpocket a Desert bandit,53 Thieving,Medium,30,
51,General,Pickpocket a Knight,55 Thieving,Medium,30,
52,General,Pickpocket a Paladin,70 Thieving,Hard,80,
53,General,Pickpocket a Gnome,75 Thieving,Hard,80,
54,General,Pickpocket a Hero,80 Thieving,Hard,80,
55,General,Pickpocket a Vyre,82 Thieving,Hard,80,
56,General,Pickpocket an Elf,85 Thieving,Elite,200,
57,General,Pickpocket a Tzhaar,90 Thieving,Elite,200,
58,General,Steal from a Vegetable stall,2 Thieving,Easy,10,
59,General,Steal from a Cake stall,5 Thieving,Easy,10,
60,General,Steal from a Tea stall,5 Thieving,Easy,10,
61,General,Steal from a Crafting stall,5 Thieving,Easy,10,
62,General,Steal from a Silk stall,20 Thieving,Easy,10,
63,General,Steal from a Wine stall,22 Thieving,Easy,10,
64,General,Steal from a Fruit stall,25 Thieving,Easy,10,
65,General,Steal from a Seed stall,27 Thieving,Easy,10,
66,General,Steal from a Fur stall,35 Thieving,Medium,30,
67,General,Steal from a Fish stall,42 Thieving,Medium,30,
68,General,Steal from a Silver stall,50 Thieving,Medium,30,
69,General,Steal from a Magic stall,65 Thieving,Hard,80,
70,General,Steal from a Gem stall,75 Thieving,Hard,80,
71,General,Mine Copper Ore,,Easy,10,
72,General,Mine Tin Ore,,Easy,10,
73,General,Mine Clay,,Easy,10,
74,General,Mine Iron Ore,15 Mining,Easy,10,
75,General,Mine Silver Ore,20 Mining,Easy,10,
76,General,Mine Coal,30 Mining,Medium,30,
77,General,Mine Gold Ore,40 Mining,Medium,30,
78,General,Mind Mithril Ore,55 Mining,Medium,30,
79,General,Mine Adamantite Ore,70 Mining,Hard,80,
80,General,Mine Runite Ore,85 Mining,Elite,200,
81,General,Mine Rune Essence,,Easy,10,
82,General,Mine Sandstone,35 Mining,Medium,30,
83,General,Mine Gem rocks,40 Mining,Medium,30,
84,General,Mine Granite,45 Mining,Medium,30,
85,General,Mine with a Steel pickaxe,6 Mining,Easy,10,
86,General,Mine with a Rune pickaxe,41 Mining,Medium,30,
87,General,Mine with a Dragon pickaxe,61 Mining,Hard,80,
88,General,Wield Mining gloves,20 Mining,Easy,10,
89,General,Enter the Mining Guild,60 Mining,Hard,80,
90,General,Mine a Shooting Star,10 Mining,Easy,10,
91,General,Chop a Tree,,Easy,10,
92,General,Chop an Oak Tree,15 Woodcutting,Easy,10,
93,General,Chop a Willow Tree,30 Woodcutting,Medium,30,
94,General,Chop a Teak Tree,35 Woodcutting,Medium,30,
95,General,Chop a Maple Tree,45 Woodcutting,Medium,30,
96,General,Chop a Mahogany Tree,50 Woodcutting,Medium,30,
97,General,Chop a Yew Tree,60 Woodcutting,Hard,80,
98,General,Chop a Magic Tree,75 Woodcutting,Hard,80,
99,General,Chop a Redwood Tree,90 Woodcutting,Elite,200,
100,General,Chop a tree with a Steel axe,6 Woodcutting,Easy,10,
